,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-06-06 11:00:00,0.0,10.541,429.9,0.5968175102084997,0.1041167610707279,5.750241583274544,5.414928096510167,5.507851056377504,350.27873509186384,329.8529525743607,335.5133994220195,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-06 11:30:00,0.0,9.952,429.9,0.5840295156398085,0.1361950094563167,5.868573855833898,5.533170114693514,5.6261171713495814,357.4870024580902,337.05572205181045,342.7176367669586,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-06 12:00:00,0.0,10.932,223.6,0.5968175102084997,0.1100441647816796,6.87496620283208,6.538665236548236,6.631853176139367,418.79187690684506,398.3059415988899,403.9825298140253,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-06 12:30:00,0.0,12.05,223.6,0.605205781489442,0.1278720722397406,7.793450689625565,7.456129980013643,7.5495934689417625,474.7418017189277,454.1937482550821,459.88712169077183,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-06 13:00:00,0.0,12.847,339.9,0.6093592566080764,0.1324468468765772,7.574979532209604,7.237918630841108,7.3313117933239065,461.43352595947005,440.9012988398841,446.59038830629123,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 13:30:00,0.0,12.751,339.9,0.6416309919570271,0.136355043366275,7.7468034603521465,7.40953912459397,7.502987347934585,471.90026328461926,451.35564386122155,457.0480873862973,0.208,0.0898349764317882,0.0907076765741159,0.1295142176686347
2021-06-06 14:00:00,0.0,11.929,281.7,0.6494387664031583,0.1076532194203745,6.987729267892168,6.651313383042784,6.7445323023558945,425.6608933163846,405.1679576886701,410.84643304848834,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-06 14:30:00,0.0,13.04,281.7,0.6533044306354585,0.1288850423317708,6.153451621533111,5.817817410797421,5.910826135695317,374.8404687394307,354.3951491667695,360.0608204325652,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-06 15:00:00,0.0,11.977,198.0,0.5067092186134114,0.0803969823546638,6.500595124523484,6.164654944951287,6.257745783885697,395.9868823921214,375.52292458044406,381.1935978623163,0.204,0.0861430248249164,0.0892654139579597,0.12646947959429203
2021-06-06 15:30:00,0.0,11.127,198.0,0.4970476964304875,0.1064229971166454,5.305304650725368,4.970301676558557,5.063142030214524,323.1751875848689,302.76832009177485,308.4237349422888,0.204,0.0861430248249164,0.0892654139579597,0.12646947959429203
2021-06-06 16:00:00,0.0,11.029,156.0,0.4416637624480166,0.1020435530593669,4.692303970040261,4.3576538990313285,4.450401210576772,285.8339559285538,265.44858570126354,271.0983328468102,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-06 16:30:00,0.0,11.37,156.0,0.4622502802230133,0.095215673608894,4.656769369863806,4.322137087210027,4.414879745215452,283.66934864700795,263.2850620059379,268.9345256788534,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-06 17:00:00,0.0,10.516,15.47,0.4673162385216193,0.046508205803184,4.280231818053287,3.945770018560828,4.038468358850492,260.7323823556426,240.35848077844102,246.00524481635964,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
2021-06-06 17:30:00,0.0,9.485,15.47,0.4622502802230133,0.0264301182940713,3.470125835756513,3.135919012142165,3.228553003211339,211.38438633498257,191.0260167361806,196.66886091034544,0.205,0.0870660127266343,0.0896259796119988,0.1272306641128777
